Country,Code,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
Afghanistan,4,2020,Tourism expenditure (millions of US dollars),,,75,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Albania,8,2021,Tourism expenditure (millions of US dollars),TF,,2480,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Algeria,12,2021,Tourism expenditure (millions of US dollars),VF,,83,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
American Samoa,16,2020,Tourist/visitor arrivals (thousands),TF,,1,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Andorra,20,2020,Tourism expenditure (millions of US dollars),TF,,1351,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Angola,24,2021,Tourism expenditure (millions of US dollars),TF,,23,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Anguilla,660,2021,Tourism expenditure (millions of US dollars),TF,,62,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Antigua and Barbuda,28,2021,Tourism expenditure (millions of US dollars),TF,,546,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Argentina,32,2021,Tourism expenditure (millions of US dollars),TF,,445,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Armenia,51,2021,Tourism expenditure (millions of US dollars),TF,,813,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Aruba,533,2021,Tourism expenditure (millions of US dollars),TF,,1788,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Australia,36,2021,Tourism expenditure (millions of US dollars),VF,,17132,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Austria,40,2021,Tourism expenditure (millions of US dollars),TCE,,9841,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Azerbaijan,31,2021,Tourism expenditure (millions of US dollars),TF,,368,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Bahamas,44,2021,Tourism expenditure (millions of US dollars),TF,,2334,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Bahrain,48,2021,Tourism expenditure (millions of US dollars),VF,,1886,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Bangladesh,50,2021,Tourism expenditure (millions of US dollars),TF,,273,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Barbados,52,2021,Tourism expenditure (millions of US dollars),TF,,575,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Belarus,112,2021,Tourism expenditure (millions of US dollars),VF,,662,Includes estimation of the Belarusian-Russian border segment.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Belgium,56,2021,Tourism expenditure (millions of US dollars),TCE,,7336,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Belize,84,2021,Tourism expenditure (millions of US dollars),TF,,374,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Benin,204,2020,Tourism expenditure (millions of US dollars),TF,,203,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Bermuda,60,2021,Tourism expenditure (millions of US dollars),TF,,145,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Bhutan,64,2021,Tourism expenditure (millions of US dollars),TF,,4,"Including regional high end tourists.;Due to covid mandatory quarantine, only 1 tourist staying 113 nights was received.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Bolivia (Plurin. State of),68,2021,Tourism expenditure (millions of US dollars),TF,,270,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Bonaire,669,2005,Tourism expenditure (millions of US dollars),TF,,87,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Bosnia and Herzegovina,70,2021,Tourism expenditure (millions of US dollars),TCE,,1003,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Botswana,72,2021,Tourism expenditure (millions of US dollars),TF,,295,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
