Country_Of_Nationality,Arrivals,Market_Share,Year
Singapore,5222991,51.9,2022
Indonesia,1481739,14.7,2022
Thailand,715528,7.1,2022
India,324548,3.2,2022
Brunei,301757,3.0,2022
Prc *,212603,2.1,2022
Vietnam,173763,1.7,2022
Philippines,159442,1.6,2022
Australia,152265,1.5,2022
South korea,146348,1.5,2022
Others,1179980,11.7,2022
Total,10070964,100.0,2022
Thailand,59607,35.7,2021
Singapore,16308,16.4,2021
Indonesia,11025,9.4,2021
Prc*,7701,9.1,2021
India,3916,3.6,2021
Japan,3114,3.1,2021
South korea,3028,2.8,2021
United kingdom,2676,1.7,2021
Philippines,2317,1.7,2021
Pakistan,2043,1.5,2021
Others,22993,15.0,2021
Total,134728,100.0,2021
Singapore,10163882,38.9,2019
Indonesia,3623277,13.9,2019
Prc*,3714257,11.9,2019
Thailand,1884306,7.2,2019
Brunei,1216123,4.7,2019
South korea,735309,2.8,2019
India,673065,2.6,2019
Philippines,424694,1.6,2019
Japan,421908,1.6,2019
Taiwan,400346,1.5,2019
Others,3443617,13.2,2019
Total,26100784,100.0,2019
