Year,Purpose,Visitors
2022,Visiting Friends & Relatives,33.7
2021,Visiting Friends & Relatives,24.2
2019,Visiting Friends & Relatives,42.3
2022,Shopping,29.9
2021,Shopping,36.4
2019,Shopping,35.4
2022,Holiday/ Leisure/ Relaxation/ Getting Away,16.4
2021,Holiday/ Leisure/ Relaxation/ Getting Away,15.5
2019,Holiday/ Leisure/ Relaxation/ Getting Away,9.0
2022,"Entertainment/ Attending
 Special
 Event /Sport",4.4
2021,"Entertainment/ Attending
 Special
 Event /Sport",5.4
2019,"Entertainment/ Attending
 Special
 Event /Sport",4.0
2022,"Medical
 Treatment/ Wellness",5.0
2021,"Medical
 Treatment/ Wellness",10.3
2019,"Medical
 Treatment/ Wellness",4.0
2022,Official Business/ Education,0.9
2021,Official Business/ Education,1.2
2019,Official Business/ Education,1.4
2022,Incentive Travel/ Others,8.9
2021,Incentive Travel/ Others,6.6
2019,Incentive Travel/ Others,2.8
2022,Religious Purpose/ Visit Places Of Worship,0.8
2021,Religious Purpose/ Visit Places Of Worship,0.4
2019,Religious Purpose/ Visit Places Of Worship,1.7
