Year,Region,Quarter,Tourist_Arrivals
2015,AFRICA,Quarter1,31864.0
2015,AMERICAS,Quarter1,99798.0
2015,ASIA,Quarter1,1172833.4000000001
2015,EUROPE,Quarter1,349019.0
2015,OCEANIA,Quarter1,136251.0
2015,OTHERS,Quarter1,1597.0
2015,AFRICA,Quarter2,27106.0
2015,AMERICAS,Quarter2,86824.0
2015,ASIA,Quarter2,1117135.6
2015,EUROPE,Quarter2,259023.0
2015,OCEANIA,Quarter2,124982.0
2015,OTHERS,Quarter2,991.0
2015,AFRICA,Quarter3,35056.0
2015,AMERICAS,Quarter3,86849.0
2015,ASIA,Quarter3,1178303.4000000001
2015,EUROPE,Quarter3,316694.0
2015,OCEANIA,Quarter3,151543.0
2015,OTHERS,Quarter3,1265.0
2015,AFRICA,Quarter4,33956.0
2015,AMERICAS,Quarter4,86659.0
2015,ASIA,Quarter4,1223650.2
2015,EUROPE,Quarter4,291817.0
2015,OCEANIA,Quarter4,138927.0
2015,OTHERS,Quarter4,1417.0
2016,AFRICA,Quarter1,30625.0
2016,AMERICAS,Quarter1,93361.0
2016,ASIA,Quarter1,1220551.4000000001
2016,EUROPE,Quarter1,326864.0
2016,OCEANIA,Quarter1,111114.0
2016,OTHERS,Quarter1,1259.0
2016,AFRICA,Quarter2,18827.0
2016,AMERICAS,Quarter2,76293.0
2016,ASIA,Quarter2,1191151.8
2016,EUROPE,Quarter2,220629.0
2016,OCEANIA,Quarter2,94717.0
2016,OTHERS,Quarter2,570.0
2016,AFRICA,Quarter3,30251.0
2016,AMERICAS,Quarter3,76115.0
2016,ASIA,Quarter3,1234731.6
2016,EUROPE,Quarter3,303258.0
2016,OCEANIA,Quarter3,112996.0
2016,OTHERS,Quarter3,877.0
2016,AFRICA,Quarter4,30240.0
2016,AMERICAS,Quarter4,76565.0
2016,ASIA,Quarter4,1308400.0
2016,EUROPE,Quarter4,261148.0
2016,OCEANIA,Quarter4,116406.0
2016,OTHERS,Quarter4,1103.0
2017,AFRICA,Quarter1,24313.0
2017,AMERICAS,Quarter1,83559.0
2017,ASIA,Quarter1,1223597.2
2017,EUROPE,Quarter1,303778.0
2017,OCEANIA,Quarter1,101833.0
2017,OTHERS,Quarter1,200.0
2017,AFRICA,Quarter2,20837.0
2017,AMERICAS,Quarter2,73741.0
2017,ASIA,Quarter2,1178391.4000000001
2017,EUROPE,Quarter2,237954.0
2017,OCEANIA,Quarter2,94612.0
2017,OTHERS,Quarter2,296.0
2017,AFRICA,Quarter3,28468.0
2017,AMERICAS,Quarter3,75191.0
2017,ASIA,Quarter3,1193602.2
2017,EUROPE,Quarter3,307086.0
2017,OCEANIA,Quarter3,105614.0
2017,OTHERS,Quarter3,499.0
2017,AFRICA,Quarter4,28577.0
2017,AMERICAS,Quarter4,76076.0
2017,ASIA,Quarter4,1210781.6
2017,EUROPE,Quarter4,243975.0
2017,OCEANIA,Quarter4,109611.0
2017,OTHERS,Quarter4,377.0
2018,AFRICA,Quarter1,36818.0
2018,AMERICAS,Quarter1,107344.0
2018,ASIA,Quarter1,1187244.6
2018,EUROPE,Quarter1,336460.0
2018,OCEANIA,Quarter1,102639.0
2018,OTHERS,Quarter1,734.0
2018,AFRICA,Quarter2,30537.0
2018,AMERICAS,Quarter2,94584.0
2018,ASIA,Quarter2,1148669.0
2018,EUROPE,Quarter2,249560.0
2018,OCEANIA,Quarter2,91570.0
2018,OTHERS,Quarter2,554.0
2018,AFRICA,Quarter3,46141.0
2018,AMERICAS,Quarter3,93970.0
2018,ASIA,Quarter3,1215852.8
2018,EUROPE,Quarter3,329832.0
2018,OCEANIA,Quarter3,105806.0
2018,OTHERS,Quarter3,734.0
2018,AFRICA,Quarter4,38895.0
2018,AMERICAS,Quarter4,93899.0
2018,ASIA,Quarter4,1188451.0
2018,EUROPE,Quarter4,262096.0
2018,OCEANIA,Quarter4,108422.0
2018,OTHERS,Quarter4,672.0
2019,AFRICA,Quarter1,35644.0
2019,AMERICAS,Quarter1,108651.0
2019,ASIA,Quarter1,1224207.2
2019,EUROPE,Quarter1,327994.0
2019,OCEANIA,Quarter1,102336.0
2019,OTHERS,Quarter1,569.0
2019,AFRICA,Quarter2,33827.0
2019,AMERICAS,Quarter2,100361.0
2019,ASIA,Quarter2,1231573.4000000001
2019,EUROPE,Quarter2,262835.0
2019,OCEANIA,Quarter2,102955.0
