Products,Year,Value in RM Million,Status data
Accommodation services,2000,5686.0,f
Food and beverage serving services,2000,3792.8,f
Passenger transport services,2000,2197.9,f
Travel agencies and other reservation services  ,2000,816.9,f
"Cultural, sports and recreational services",2000,972.5,f
Retail sale of automotive fuel,2000,-,f
Country-specific tourism characteristic goods,2000,4493.0,f
Country-specific tourism characteristic services,2000,797.5,f
Accommodation services,2001,8453.3,f
Food and beverage serving services,2001,4431.4,f
Passenger transport services,2001,3764.0,f
Travel agencies and other reservation services  ,2001,987.7,f
"Cultural, sports and recreational services",2001,1254.7,f
Retail sale of automotive fuel,2001,-,f
Country-specific tourism characteristic goods,2001,5712.8,f
Country-specific tourism characteristic services,2001,1228.0,f
Accommodation services,2002,9435.9,f
Food and beverage serving services,2002,5119.7,f
Passenger transport services,2002,3791.3,f
Travel agencies and other reservation services  ,2002,857.9,f
"Cultural, sports and recreational services",2002,1273.0,f
Retail sale of automotive fuel,2002,-,f
Country-specific tourism characteristic goods,2002,5700.8,f
Country-specific tourism characteristic services,2002,802.6,f
Accommodation services,2003,8388.7,f
Food and beverage serving services,2003,3714.1,f
Passenger transport services,2003,2830.9,f
Travel agencies and other reservation services  ,2003,1064.4,f
"Cultural, sports and recreational services",2003,905.8,f
Retail sale of automotive fuel,2003,-,f
Country-specific tourism characteristic goods,2003,4688.0,f
Country-specific tourism characteristic services,2003,520.7,f
Accommodation services,2004,9251.2,f
Food and beverage serving services,2004,5427.0,f
Passenger transport services,2004,4709.7,f
Travel agencies and other reservation services  ,2004,1341.3,f
"Cultural, sports and recreational services",2004,1933.8,f
Retail sale of automotive fuel,2004,-,f
Country-specific tourism characteristic goods,2004,6986.6,f
Country-specific tourism characteristic services,2004,1060.4,f
Accommodation services,2005,10704.6,f
Food and beverage serving services,2005,6699.5,f
Passenger transport services,2005,5218.3,f
Travel agencies and other reservation services  ,2005,1077.3,f
"Cultural, sports and recreational services",2005,1346.7,f
Retail sale of automotive fuel,2005,-,f
Country-specific tourism characteristic goods,2005,7002.5,f
Country-specific tourism characteristic services,2005,1043.5,f
Accommodation services,2006,12840.2,f
Food and beverage serving services,2006,7159.5,f
Passenger transport services,2006,5053.6,f
Travel agencies and other reservation services  ,2006,765.7,f
"Cultural, sports and recreational services",2006,1416.6,f
Retail sale of automotive fuel,2006,-,f
Country-specific tourism characteristic goods,2006,9839.5,f
Country-specific tourism characteristic services,2006,497.8,f
Accommodation services,2007,14235.6,f
Food and beverage serving services,2007,8693.3,f
Passenger transport services,2007,7156.3,f
Travel agencies and other reservation services  ,2007,2113.3,f
"Cultural, sports and recreational services",2007,1488.9,f
Retail sale of automotive fuel,2007,-,f
Country-specific tourism characteristic goods,2007,12775.7,f
Country-specific tourism characteristic services,2007,960.6,f
Accommodation services,2008,15463.1,f
Food and beverage serving services,2008,8929.4,f
Passenger transport services,2008,7718.7,f
Travel agencies and other reservation services  ,2008,2068.4,f
"Cultural, sports and recreational services",2008,1513.4,f
Retail sale of automotive fuel,2008,-,f
Country-specific tourism characteristic goods,2008,13520.3,f
Country-specific tourism characteristic services,2008,958.5,f
Accommodation services,2009,16573.8,f
Food and beverage serving services,2009,9702.9,f
Passenger transport services,2009,7861.9,f
Travel agencies and other reservation services  ,2009,2371.8,f
"Cultural, sports and recreational services",2009,1664.7,f
Retail sale of automotive fuel,2009,-,f
Country-specific tourism characteristic goods,2009,15773.5,f
Country-specific tourism characteristic services,2009,1052.2,f
Accommodation services,2010,17343.2,f
Food and beverage serving services,2010,10176.9,f
Passenger transport services,2010,12777.8,f
Travel agencies and other reservation services  ,2010,2544.2,f
"Cultural, sports and recreational services",2010,1834.2,f
Retail sale of automotive fuel,2010,-,f
Country-specific tourism characteristic goods,2010,16981.1,f
Country-specific tourism characteristic services,2010,1420.0,f
Accommodation services,2011,17961.3,f
Food and beverage serving services,2011,10244.7,f
Passenger transport services,2011,12256.1,f
Travel agencies and other reservation services  ,2011,2805.1,f
"Cultural, sports and recreational services",2011,2317.3,f
Retail sale of automotive fuel,2011,-,f
Country-specific tourism characteristic goods,2011,18294.2,f
Country-specific tourism characteristic services,2011,1463.5,f
Accommodation services,2012,18651.5,f
Food and beverage serving services,2012,10149.2,f
Passenger transport services,2012,12642.8,f
Travel agencies and other reservation services  ,2012,2537.3,f
"Cultural, sports and recreational services",2012,1903.0,f
Retail sale of automotive fuel,2012,-,f
Country-specific tourism characteristic goods,2012,19473.8,f
Country-specific tourism characteristic services,2012,1712.7,f
Accommodation services,2013,19829.3,f
Food and beverage serving services,2013,8590.9,f
Passenger transport services,2013,17595.8,f
Travel agencies and other reservation services  ,2013,2474.2,f
"Cultural, sports and recreational services",2013,2130.5,f
Retail sale of automotive fuel,2013,-,f
Country-specific tourism characteristic goods,2013,20755.6,f
Country-specific tourism characteristic services,2013,1993.1,f
Accommodation services,2014,21815.6,f
Food and beverage serving services,2014,10845.9,f
Passenger transport services,2014,17868.7,f
Travel agencies and other reservation services  ,2014,2767.6,f
"Cultural, sports and recreational services",2014,1720.4,f
Retail sale of automotive fuel,2014,-,f
Country-specific tourism characteristic goods,2014,22439.7,f
Country-specific tourism characteristic services,2014,2618.0,f
Accommodation services,2015,17656.4,f
Food and beverage serving services,2015,10106.2,f
Passenger transport services,2015,13362.5,f
Travel agencies and other reservation services  ,2015,4165.0,f
"Cultural, sports and recreational services",2015,2200.2,f
Retail sale of automotive fuel,2015,646.3,f
Country-specific tourism characteristic goods,2015,23827.5,f
Country-specific tourism characteristic services,2015,2673.5,f
Accommodation services,2016,20142.5,f
Food and beverage serving services,2016,10602.9,f
Passenger transport services,2016,14476.1,f
Travel agencies and other reservation services  ,2016,4612.8,f
"Cultural, sports and recreational services",2016,2424.1,f
Retail sale of automotive fuel,2016,657.7,f
Country-specific tourism characteristic goods,2016,25920.9,f
Country-specific tourism characteristic services,2016,2782.8,f
Accommodation services,2017,21034.2,f
Food and beverage serving services,2017,11446.0,f
Passenger transport services,2017,14850.5,f
Travel agencies and other reservation services  ,2017,4217.0,f
"Cultural, sports and recreational services",2017,2555.6,f
Retail sale of automotive fuel,2017,602.4,f
Country-specific tourism characteristic goods,2017,28141.7,f
Country-specific tourism characteristic services,2017,2883.3,f
Accommodation services,2018,21622.8,f
Food and beverage serving services,2018,11784.7,f
Passenger transport services,2018,15188.0,f
Travel agencies and other reservation services  ,2018,3869.6,f
"Cultural, sports and recreational services",2018,2366.3,f
Retail sale of automotive fuel,2018,615.6,f
Country-specific tourism characteristic goods,2018,29373.7,f
Country-specific tourism characteristic services,2018,2861.7,f
Accommodation services,2019,22007.3,f
Food and beverage serving services,2019,12019.2,f
Passenger transport services,2019,16023.7,f
Travel agencies and other reservation services  ,2019,4047.1,f
"Cultural, sports and recreational services",2019,2526.7,f
Retail sale of automotive fuel,2019,467.2,f
Country-specific tourism characteristic goods,2019,29924.4,f
Country-specific tourism characteristic services,2019,2405.3,f
