Year,Region,Quarter,Tourist_Arrivals
2015,AFRICA,Quarter1," 31,864 "
2015,AMERICAS,Quarter1," 99,798 "
2015,ASIA,Quarter1," 5,864,167 "
2015,EUROPE,Quarter1," 349,019 "
2015,OCEANIA,Quarter1," 136,251 "
2015,OTHERS,Quarter1," 1,597 "
2015,AFRICA,Quarter2," 27,106 "
2015,AMERICAS,Quarter2," 86,824 "
2015,ASIA,Quarter2," 5,585,678 "
2015,EUROPE,Quarter2," 259,023 "
2015,OCEANIA,Quarter2," 124,982 "
2015,OTHERS,Quarter2, 991 
2015,AFRICA,Quarter3," 35,056 "
2015,AMERICAS,Quarter3," 86,849 "
2015,ASIA,Quarter3," 5,891,517 "
2015,EUROPE,Quarter3," 316,694 "
2015,OCEANIA,Quarter3," 151,543 "
2015,OTHERS,Quarter3," 1,265 "
2015,AFRICA,Quarter4," 33,956 "
2015,AMERICAS,Quarter4," 86,659 "
2015,ASIA,Quarter4," 6,118,251 "
2015,EUROPE,Quarter4," 291,817 "
2015,OCEANIA,Quarter4," 138,927 "
2015,OTHERS,Quarter4," 1,417 "
2015,AFRICA,Total," 127,982 "
2015,AMERICAS,Total," 360,130 "
2015,ASIA,Total," 23,459,613 "
2015,EUROPE,Total," 1,216,553 "
2015,OCEANIA,Total," 551,703 "
2015,OTHERS,Total," 5,270 "
2016,AFRICA,Quarter1," 30,625 "
2016,AMERICAS,Quarter1," 93,361 "
2016,ASIA,Quarter1," 6,102,757 "
2016,EUROPE,Quarter1," 326,864 "
2016,OCEANIA,Quarter1," 111,114 "
2016,OTHERS,Quarter1," 1,259 "
2016,AFRICA,Quarter2," 18,827 "
2016,AMERICAS,Quarter2," 76,293 "
2016,ASIA,Quarter2," 5,955,759 "
2016,EUROPE,Quarter2," 220,629 "
2016,OCEANIA,Quarter2," 94,717 "
2016,OTHERS,Quarter2, 570 
2016,AFRICA,Quarter3," 30,251 "
2016,AMERICAS,Quarter3," 76,115 "
2016,ASIA,Quarter3," 6,173,658 "
