STATE OF ORIGIN,STATE VISITED,Number of Tourists
MALAYSIA,MALAYSIA,65056.0
JOHOR,MALAYSIA,6450.8
KEDAH,MALAYSIA,4317.9
KELANTAN,MALAYSIA,2814.2
MELAKA,MALAYSIA,2148.6
NEGERI SEMBILAN,MALAYSIA,3550.1
PAHANG,MALAYSIA,5364.7
PULAU PINANG,MALAYSIA,2851.5
PERAK,MALAYSIA,3535.4
PERLIS,MALAYSIA,357.7
SELANGOR,MALAYSIA,16829.5
TERENGGANU,MALAYSIA,1472.4
SABAH,MALAYSIA,3842.6
SARAWAK,MALAYSIA,4352.7
WP KUALA LUMPUR,MALAYSIA,6863.5
WP LABUAN,MALAYSIA,108.9
WP PUTRAJAYA,MALAYSIA,195.7
MALAYSIA,JOHOR,6253.8
JOHOR,JOHOR,1999.4
KEDAH,JOHOR,134.5
KELANTAN,JOHOR,167.8
MELAKA,JOHOR,355.4
NEGERI SEMBILAN,JOHOR,385.9
PAHANG,JOHOR,430.1
PULAU PINANG,JOHOR,36.6
PERAK,JOHOR,150.1
PERLIS,JOHOR,4.0
SELANGOR,JOHOR,1708.6
TERENGGANU,JOHOR,32.5
SABAH,JOHOR,75.2
SARAWAK,JOHOR,24.7
WP KUALA LUMPUR,JOHOR,718.5
WP LABUAN,JOHOR,5.3
WP PUTRAJAYA,JOHOR,25.2
MALAYSIA,KEDAH,5594.6
JOHOR,KEDAH,628.5
KEDAH,KEDAH,2214.9
KELANTAN,KEDAH,53.2
MELAKA,KEDAH,74.5
NEGERI SEMBILAN,KEDAH,114.1
PAHANG,KEDAH,84.9
PULAU PINANG,KEDAH,434.0
PERAK,KEDAH,413.5
PERLIS,KEDAH,88.0
SELANGOR,KEDAH,1019.0
TERENGGANU,KEDAH,15.3
SABAH,KEDAH,24.3
SARAWAK,KEDAH,17.6
WP KUALA LUMPUR,KEDAH,401.7
WP LABUAN,KEDAH,3.7
WP PUTRAJAYA,KEDAH,7.2
MALAYSIA,KELANTAN,3544.766
JOHOR,KELANTAN,486.13
KEDAH,KELANTAN,204.534
KELANTAN,KELANTAN,454.443
MELAKA,KELANTAN,63.556
NEGERI SEMBILAN,KELANTAN,182.492
PAHANG,KELANTAN,454.674
PULAU PINANG,KELANTAN,70.297
PERAK,KELANTAN,43.169
PERLIS,KELANTAN,33.567
SELANGOR,KELANTAN,795.433
TERENGGANU,KELANTAN,231.307
SABAH,KELANTAN,9.475
SARAWAK,KELANTAN,4.867
WP KUALA LUMPUR,KELANTAN,501.948
WP LABUAN,KELANTAN,2.219
WP PUTRAJAYA,KELANTAN,6.655
MALAYSIA,MELAKA,4559.324
JOHOR,MELAKA,717.314
KEDAH,MELAKA,124.096
KELANTAN,MELAKA,102.667
MELAKA,MELAKA,318.922
NEGERI SEMBILAN,MELAKA,394.611
PAHANG,MELAKA,142.37
PULAU PINANG,MELAKA,60.315
PERAK,MELAKA,182.635
PERLIS,MELAKA,3.16
SELANGOR,MELAKA,1639.098
TERENGGANU,MELAKA,19.126
SABAH,MELAKA,5.958
SARAWAK,MELAKA,16.894
WP KUALA LUMPUR,MELAKA,814.257
WP LABUAN,MELAKA,1.749
WP PUTRAJAYA,MELAKA,16.152
MALAYSIA,NEGERI SEMBILAN,3760.8
JOHOR,NEGERI SEMBILAN,460.6
KEDAH,NEGERI SEMBILAN,56.1
KELANTAN,NEGERI SEMBILAN,31.5
MELAKA,NEGERI SEMBILAN,216.6
NEGERI SEMBILAN,NEGERI SEMBILAN,896.7
PAHANG,NEGERI SEMBILAN,205.1
PULAU PINANG,NEGERI SEMBILAN,30.0
PERAK,NEGERI SEMBILAN,64.4
PERLIS,NEGERI SEMBILAN,4.4
SELANGOR,NEGERI SEMBILAN,1010.3
TERENGGANU,NEGERI SEMBILAN,19.4
SABAH,NEGERI SEMBILAN,10.7
SARAWAK,NEGERI SEMBILAN,4.1
WP KUALA LUMPUR,NEGERI SEMBILAN,731.6
WP LABUAN,NEGERI SEMBILAN,1.3
WP PUTRAJAYA,NEGERI SEMBILAN,18.0
MALAYSIA,PAHANG,7794.1
JOHOR,PAHANG,429.3
KEDAH,PAHANG,207.3
KELANTAN,PAHANG,346.5
MELAKA,PAHANG,260.6
NEGERI SEMBILAN,PAHANG,533.2
PAHANG,PAHANG,2079.7
PULAU PINANG,PAHANG,214.7
PERAK,PAHANG,200.5
PERLIS,PAHANG,6.9
SELANGOR,PAHANG,2322.1
TERENGGANU,PAHANG,52.8
SABAH,PAHANG,7.8
SARAWAK,PAHANG,8.9
WP KUALA LUMPUR,PAHANG,1098.1
WP LABUAN,PAHANG,0.2
WP PUTRAJAYA,PAHANG,
MALAYSIA,PULAU PINANG,3484.229
JOHOR,PULAU PINANG,167.187
KEDAH,PULAU PINANG,290.949
KELANTAN,PULAU PINANG,147.006
MELAKA,PULAU PINANG,101.995
NEGERI SEMBILAN,PULAU PINANG,189.219
PAHANG,PULAU PINANG,117.095
PULAU PINANG,PULAU PINANG,832.082
PERAK,PULAU PINANG,153.71
PERLIS,PULAU PINANG,49.579
SELANGOR,PULAU PINANG,1058.05
TERENGGANU,PULAU PINANG,24.039
SABAH,PULAU PINANG,2.925
SARAWAK,PULAU PINANG,45.711
WP KUALA LUMPUR,PULAU PINANG,296.422
WP LABUAN,PULAU PINANG,1.55
WP PUTRAJAYA,PULAU PINANG,25.5
MALAYSIA,PERAK,6866.5
JOHOR,PERAK,284.1
KEDAH,PERAK,409.3
KELANTAN,PERAK,165.6
MELAKA,PERAK,108.4
NEGERI SEMBILAN,PERAK,211.0
PAHANG,PERAK,191.4
PULAU PINANG,PERAK,348.9
PERAK,PERAK,1308.7
PERLIS,PERAK,59.8
SELANGOR,PERAK,2628.7
TERENGGANU,PERAK,19.2
SABAH,PERAK,35.8
