Code,Country,Year,Tourism expenditure (millions of US dollars),Tourist/visitor arrivals (thousands)
8,Albania,2021,2480.0,5515.0
12,Algeria,2021,83.0,125.0
20,Andorra,2021,,1949.0
24,Angola,2021,23.0,64.0
28,Antigua and Barbuda,2021,546.0,169.0
31,Azerbaijan,2021,368.0,
32,Argentina,2021,445.0,297.0
36,Australia,2021,17132.0,246.0
40,Austria,2021,9841.0,12728.0
44,Bahamas,2021,2334.0,891.0
48,Bahrain,2021,1886.0,3612.0
50,Bangladesh,2021,273.0,135.0
51,Armenia,2021,813.0,870.0
52,Barbados,2021,575.0,144.0
56,Belgium,2021,7336.0,3243.0
60,Bermuda,2021,145.0,72.0
64,Bhutan,2021,4.0,0.0
68,Bolivia (Plurin. State of),2021,270.0,180.0
70,Bosnia and Herzegovina,2021,1003.0,502.0
72,Botswana,2021,295.0,
76,Brazil,2021,3005.0,746.0
84,Belize,2021,374.0,219.0
90,Solomon Islands,2021,,1.0
92,British Virgin Islands,2021,,56.0
96,Brunei Darussalam,2021,2.0,4.0
100,Bulgaria,2021,2734.0,2300.0
104,Myanmar,2021,,131.0
112,Belarus,2021,662.0,3361.0
116,Cambodia,2021,197.0,196.0
120,Cameroon,2021,508.0,
124,Canada,2021,,3062.0
132,Cabo Verde,2021,144.0,135.0
136,Cayman Islands,2021,,17.0
144,Sri Lanka,2021,615.0,194.0
148,Chad,2021,,40.0
152,Chile,2021,633.0,190.0
156,China,2021,11328.0,
158,Other non-specified areas,2021,901.0,140.0
170,Colombia,2021,2939.0,2155.0
174,Comoros,2021,72.0,29.0
180,Dem. Rep. of the Congo,2021,108.0,
184,Cook Islands,2021,43.0,26.0
188,Costa Rica,2021,1707.0,1347.0
191,Croatia,2021,10891.0,10641.0
192,Cuba,2021,417.0,356.0
196,Cyprus,2021,2090.0,1937.0
203,Czechia,2021,3356.0,
208,Denmark,2021,4507.0,18405.0
212,Dominica,2021,19.0,15.0
214,Dominican Republic,2021,5687.0,4994.0
218,Ecuador,2021,1063.0,669.0
222,El Salvador,2021,1225.0,1219.0
231,Ethiopia,2021,2601.0,518.0
233,Estonia,2021,901.0,808.0
242,Fiji,2021,66.0,32.0
246,Finland,2021,1541.0,807.0
250,France,2021,44402.0,48395.0
258,French Polynesia,2021,,83.0
262,Djibouti,2021,38.0,114.0
268,Georgia,2021,1351.0,1577.0
270,Gambia,2021,67.0,332.0
275,State of Palestine,2021,266.0,
276,Germany,2021,22113.0,11688.0
288,Ghana,2021,664.0,624.0
296,Kiribati,2021,0.0,0.0
300,Greece,2021,13666.0,14705.0
308,Grenada,2021,231.0,47.0
316,Guam,2021,,79.0
320,Guatemala,2021,393.0,602.0
324,Guinea,2021,13.0,
328,Guyana,2021,26.0,158.0
332,Haiti,2021,80.0,148.0
340,Honduras,2021,305.0,459.0
344,"China, Hong Kong SAR",2021,,89.0
348,Hungary,2021,5783.0,7929.0
352,Iceland,2021,1303.0,698.0
356,India,2021,9135.0,7010.0
360,Indonesia,2021,548.0,1546.0
364,Iran (Islamic Republic of),2021,,989.0
368,Iraq,2021,1963.0,
372,Ireland,2021,5206.0,
376,Israel,2021,2427.0,397.0
380,Italy,2021,25355.0,26888.0
384,Côte d’Ivoire,2021,,576.0
388,Jamaica,2021,2119.0,1464.0
392,Japan,2021,5225.0,246.0
398,Kazakhstan,2021,688.0,1330.0
400,Jordan,2021,3426.0,2012.0
404,Kenya,2021,1222.0,
410,Republic of Korea,2021,11084.0,967.0
414,Kuwait,2021,708.0,85.0
417,Kyrgyzstan,2021,259.0,3169.0
418,Lao People's Dem. Rep.,2021,6.0,
422,Lebanon,2021,3162.0,890.0
426,Lesotho,2021,8.0,
428,Latvia,2021,,478.0
438,Liechtenstein,2021,,70.0
440,Lithuania,2021,585.0,948.0
442,Luxembourg,2021,5584.0,756.0
446,"China, Macao SAR",2021,15679.0,3697.0
450,Madagascar,2021,111.0,
454,Malawi,2021,29.0,432.0
458,Malaysia,2021,116.0,135.0
462,Maldives,2021,3490.0,1322.0
466,Mali,2021,,168.0
470,Malta,2021,772.0,968.0
474,Martinique,2021,283.0,291.0
478,Mauritania,2021,7.0,
480,Mauritius,2021,383.0,180.0
484,Mexico,2021,20554.0,31860.0
492,Monaco,2021,,218.0
496,Mongolia,2021,34.0,33.0
498,Republic of Moldova,2021,484.0,69.0
499,Montenegro,2021,902.0,1554.0
500,Montserrat,2021,2.0,2.0
504,Morocco,2021,4641.0,3722.0
508,Mozambique,2021,188.0,492.0
512,Oman,2021,511.0,464.0
516,Namibia,2021,143.0,233.0
524,Nepal,2021,176.0,151.0
528,Netherlands (Kingdom of the),2021,10535.0,6248.0
531,Curaçao,2021,462.0,265.0
533,Aruba,2021,1788.0,807.0
